City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hasaki,JP,35.7333,140.8333,54.28,54,17,13.27,few clouds
1,Port Alfred,ZA,-33.5906,26.891,68.27,93,100,25.41,light rain
2,Cape Town,ZA,-33.9258,18.4232,64.11,88,75,5.99,broken clouds
3,Ribeira Grande,PT,38.5167,-28.7,63.66,74,30,13.02,scattered clouds
4,Busselton,AU,-33.65,115.3333,86.09,31,45,10.45,scattered clouds
5,Khatanga,RU,71.9667,102.5,-23.6,96,100,12.41,overcast clouds
6,Viedma,AR,-40.8135,-62.9967,56.62,57,5,11.81,clear sky
7,Shelbyville,US,35.4834,-86.4603,60.12,42,90,1.01,overcast clouds
8,Upernavik,GL,72.7868,-56.1549,20.3,75,100,6.62,overcast clouds
9,Tasiilaq,GL,65.6145,-37.6368,26.76,91,100,49.66,snow
10,Jamestown,US,42.097,-79.2353,36.99,88,1,1.99,clear sky
11,Kvitok,RU,56.0724,98.4813,21.74,82,100,12.71,overcast clouds
12,Punta Arenas,CL,-53.15,-70.9167,48.31,57,75,10.36,broken clouds
13,Gat,IL,31.61,34.7642,58.91,12,76,8.12,broken clouds
14,Bull Savanna,JM,17.8868,-77.5902,74.01,85,84,6.13,broken clouds
15,Shingu,JP,33.7333,135.9833,54.59,53,0,4.88,clear sky
16,Puerto Ayora,EC,-0.7393,-90.3518,68.31,92,34,6.44,scattered clouds
17,Ostrovnoy,RU,68.0531,39.5131,5.95,95,83,8.52,broken clouds
18,Tuatapere,NZ,-46.1333,167.6833,52.83,88,100,6.62,light rain
19,Vryburg,ZA,-26.9566,24.7284,64.65,85,100,17.05,overcast clouds
20,Sokoto,NG,13.0609,5.239,68.81,19,4,10.36,clear sky
21,Victoria,HK,22.2855,114.1577,71.26,45,87,1.01,overcast clouds
22,Ilulissat,GL,69.2167,-51.1,37.42,41,100,36.82,light rain
23,Vila Velha,BR,-20.3297,-40.2925,73.35,91,75,2.3,broken clouds
24,Nova Olinda Do Norte,BR,-3.8881,-59.0942,74.25,96,51,1.7,broken clouds
25,Kruisfontein,ZA,-34.0033,24.7314,60.89,97,100,15.32,light rain
26,Rikitea,PF,-23.1203,-134.9692,76.05,73,92,9.19,overcast clouds
27,Omboue,GA,-1.5746,9.2618,76.84,93,99,6.17,light rain
28,Yellowknife,CA,62.456,-114.3525,-25.08,75,75,5.75,light snow
29,Kasamwa,TZ,-2.85,32.4333,66.07,87,92,2.91,overcast clouds
30,Naze,JP,28.3667,129.4833,61.72,64,95,10.71,overcast clouds
31,Kodiak,US,57.79,-152.4072,20.71,79,1,3.44,light snow
32,Acapulco,MX,16.8634,-99.8901,78.39,74,24,4.43,few clouds
33,Alamogordo,US,32.8995,-105.9603,56.21,37,75,0.0,broken clouds
34,Ushuaia,AR,-54.8,-68.3,46.06,61,75,19.57,broken clouds
35,Albany,US,42.6001,-73.9662,37.35,76,35,7.92,scattered clouds
36,Cidreira,BR,-30.1811,-50.2056,70.09,83,81,17.67,broken clouds
37,Nanortalik,GL,60.1432,-45.2371,32.77,99,100,14.0,snow
38,Sitka,US,57.0531,-135.33,30.09,86,75,4.61,light snow
39,Uribia,CO,11.7139,-72.266,79.3,79,85,14.63,overcast clouds
40,Mtambile,TZ,-5.3833,39.7,78.42,79,5,1.95,light rain
41,Barrow,US,71.2906,-156.7887,17.62,67,20,29.93,few clouds
42,Richards Bay,ZA,-28.783,32.0377,71.4,96,100,11.21,light rain
43,Shumskiy,RU,54.8318,99.1328,24.96,66,98,10.87,overcast clouds
44,Nantucket,US,41.2835,-70.0995,45.97,70,1,12.66,clear sky
45,Te Anau,NZ,-45.4167,167.7167,43.79,97,100,4.92,light rain
46,Kudahuvadhoo,MV,2.6708,72.8944,82.18,77,23,11.3,few clouds
47,Lesnoy,RU,57.6198,63.0784,34.03,98,100,10.33,light rain
48,Mar Del Plata,AR,-38.0023,-57.5575,61.09,88,90,1.01,moderate rain
49,Jambi,ID,-1.6,103.6167,82.38,73,100,3.56,heavy intensity rain
50,Morro Bay,US,35.3658,-120.8499,54.91,89,5,1.99,clear sky
51,Laguna,US,38.421,-121.4238,54.23,95,90,0.0,mist
52,Miles City,US,46.4083,-105.8406,34.77,69,1,14.97,clear sky
53,Vardo,NO,70.3705,31.1107,20.62,69,43,30.69,scattered clouds
54,Zaraza,VE,9.3503,-65.3245,73.22,91,66,4.85,broken clouds
55,Arraial Do Cabo,BR,-22.9661,-42.0278,72.3,82,4,9.98,clear sky
56,Atuona,PF,-9.8,-139.0333,78.66,75,7,16.37,clear sky
57,Nikolskoye,RU,59.7035,30.7861,10.02,93,87,6.4,overcast clouds
58,Port Hardy,CA,50.6996,-127.4199,39.2,93,1,9.22,clear sky
59,Marechal Candido Rondon,BR,-24.5561,-54.0567,69.26,61,81,3.33,broken clouds
60,Hithadhoo,MV,-0.6,73.0833,81.86,79,70,13.85,broken clouds
61,Fria,GN,10.4167,-13.5833,72.21,98,15,2.66,few clouds
62,Avarua,CK,-21.2078,-159.775,78.85,89,20,4.61,few clouds
63,Kapaa,US,22.0752,-159.319,71.92,75,90,1.01,light rain
64,Hermanus,ZA,-34.4187,19.2345,62.91,93,100,19.86,light rain
65,Jedrzejow,PL,50.6394,20.3045,34.2,67,100,3.0,overcast clouds
66,Pingliang,CN,35.5392,106.6861,47.98,15,0,2.42,clear sky
67,Goderich,CA,43.7501,-81.7165,35.92,51,100,13.8,overcast clouds
68,Senador Jose Porfirio,BR,-2.5908,-51.9542,73.22,93,97,3.06,light rain
69,Bredasdorp,ZA,-34.5322,20.0403,59.29,95,100,19.08,moderate rain
70,Hobart,AU,-42.8794,147.3294,74.01,48,40,1.01,scattered clouds
71,San Rafael,AR,-34.6177,-68.3301,62.98,74,100,3.8,overcast clouds
72,Dikson,RU,73.5069,80.5464,-8.07,98,100,23.8,light snow
73,Carnarvon,AU,-24.8667,113.6333,82.47,61,0,8.05,clear sky
74,Bethel,US,41.3712,-73.414,41.49,79,1,3.44,clear sky
75,Bluff,NZ,-46.6,168.3333,52.81,77,100,10.8,overcast clouds
76,Chippewa Falls,US,44.9369,-91.3929,32.18,65,90,5.75,overcast clouds
77,Clarence Town,AU,-32.5833,151.7833,70.95,71,98,9.55,overcast clouds
78,Breytovo,RU,58.2993,37.8617,6.76,88,100,6.71,overcast clouds
79,Bani Walid,LY,31.7566,13.9942,46.76,64,0,9.8,clear sky
80,Payo,ID,-3.7508,103.6372,76.1,90,100,2.8,moderate rain
81,Hilo,US,19.7297,-155.09,68.25,93,90,3.44,light rain
82,Mataura,NZ,-46.1927,168.8643,52.48,99,100,4.97,overcast clouds
83,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,100,75,6.26,broken clouds
84,Ambilobe,MG,-13.2,49.05,81.19,60,33,5.97,scattered clouds
85,Zaozerne,UA,45.1582,33.2787,41.95,88,99,7.58,overcast clouds
86,Maniitsoq,GL,65.4167,-52.9,36.66,71,100,36.48,light rain
